OutcomeType	Breed	Color	Name	Selected	AnimalType	SexuponOutcome	AgeuponOutcome
Transfer	Domestic Shorthair Mix	Black/White		No	Cat	Intact Female	1-3 years
Transfer	Domestic Shorthair Mix	Brown Tabby/White	Mo	No	Cat	Intact Male	Under 1 year
Adoption	Domestic Shorthair Mix	Orange Tabby	Gucci	No	Cat	Spayed Female	Under 1 year
Return_to_owner	Pit Bull Mix	Brown Brindle/White	Littletyrone	No	Dog	Neutered Male	4-6 years
Adoption	Domestic Longhair Mix	Black/White	Cassie	No	Cat	Spayed Female	Under 1 year
Transfer	Domestic Shorthair	Orange/White		No	Cat	Intact Male	Under 1 year
Adoption	Plott Hound Mix	Brown Brindle	Aragorn	No	Dog	Neutered Male	Under 1 year
Euthanasia	Carolina Dog Mix	Tan	Delgado	No	Dog	Neutered Male	4-6 years
Adoption	Domestic Medium Hair Mix	Black/White	Dolly P	No	Cat	Spayed Female	1-3 years
Return_to_owner	Chihuahua Shorthair Mix	Black/White	Gemini	No	Dog	Spayed Female	4-6 years
Transfer	Domestic Shorthair Mix	Black/White		No	Cat	Intact Female	Under 1 year
Transfer	Chihuahua Shorthair Mix	White/Tan	Tarva	No	Dog	Spayed Female	1-3 years
Transfer	Snowshoe Mix	Seal Point	Birdie	No	Cat	Spayed Female	1-3 years
Return_to_owner	Boxer Mix	White	Pearl	No	Dog	Intact Female	11+ years
Transfer	Siberian Husky Mix	Black/White	Moscow	No	Dog	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Orange Tabby		No	Cat	Intact Male	Under 1 year
Transfer	Domestic Shorthair Mix	Tortie		No	Cat	Intact Female	1-3 years
Adoption	Pit Bull Mix	Black/White	Kodah	No	Dog	Neutered Male	4-6 years
Transfer	Domestic Shorthair Mix	Torbie		No	Cat	Intact Female	Under 1 year
Adoption	Pit Bull	Brown/White	Candy Cane	No	Dog	Spayed Female	Under 1 year
Adoption	Yorkshire Terrier Mix	Tan/Black	Lolly	No	Dog	Spayed Female	1-3 years
Transfer	Pit Bull Mix	Chocolate/White		No	Dog	Intact Female	Under 1 year
Transfer	Chihuahua Shorthair Mix	White/Tan	Blanca	No	Dog	Spayed Female	4-6 years
Return_to_owner	Beagle Mix	Tricolor	Nico	No	Dog	Spayed Female	4-6 years
Transfer	Domestic Shorthair Mix	Cream Tabby/White		No	Cat	Intact Male	1-3 years
Return_to_owner	Domestic Shorthair Mix	Blue/White	Meow	No	Cat	Spayed Female	11+ years
Adoption	Domestic Shorthair Mix	Calico	Gigi	No	Cat	Spayed Female	1-3 years
Return_to_owner	Miniature Poodle/Maltese	White	Angel	No	Dog	Spayed Female	1-3 years
Adoption	Chihuahua Shorthair Mix	Black	Bella	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Orange Tabby		No	Cat	Unknown	1-3 years
Euthanasia	Domestic Shorthair Mix	Brown Tabby/White		No	Cat	Intact Female	Under 1 year
Adoption	Domestic Shorthair Mix	Black	Ophelia	No	Cat	Spayed Female	Under 1 year
Adoption	Labrador Retriever	Black/White	Austin	No	Dog	Neutered Male	Under 1 year
Adoption	Domestic Shorthair Mix	Calico	Sprout	No	Cat	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Orange Tabby/White		No	Cat	Intact Male	Under 1 year
Return_to_owner	German Shepherd/Alaskan Malamute	Brown/White	Darth Caedus	No	Dog	Neutered Male	4-6 years
Adoption	Chihuahua Shorthair Mix	Black	Zooey	No	Dog	Spayed Female	Under 1 year
Return_to_owner	Pit Bull Mix	Brown/White	Sushi	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Calico/Blue Tabby	Jenny	No	Cat	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Black		No	Cat	Intact Male	Under 1 year
Transfer	Domestic Shorthair Mix	Black		No	Cat	Unknown	Under 1 year
Adoption	Siamese Mix	Seal Point/White	Beethoven	No	Cat	Neutered Male	Under 1 year
Adoption	Domestic Longhair Mix	Brown Tabby	Lucy	No	Cat	Spayed Female	Under 1 year
Return_to_owner	Chihuahua Shorthair/Jack Russell Terrier	Tricolor	Rocky	No	Dog	Neutered Male	Under 1 year
Transfer	Boxer/Labrador Retriever	Brown Brindle	Gabby	No	Dog	Spayed Female	11+ years
Return_to_owner	Yorkshire Terrier/Chihuahua Shorthair	White/Black	Frankie	No	Dog	Spayed Female	1-3 years
Return_to_owner	Australian Shepherd Mix	Black/White	Sunday	No	Dog	Spayed Female	4-6 years
Adoption	Chihuahua Shorthair Mix	Brown/White	Lewey	No	Dog	Neutered Male	1-3 years
Adoption	Domestic Shorthair Mix	Black/White	Bert	No	Cat	Neutered Male	4-6 years
Transfer	Rat Terrier Mix	Black/White		No	Dog	Spayed Female	4-6 years
Adoption	German Shepherd Mix	Sable		No	Dog	Neutered Male	Under 1 year
Adoption	Domestic Shorthair Mix	Black Smoke	Fred	No	Cat	Neutered Male	Under 1 year
Adoption	Bull Terrier Mix	White	Willie	No	Dog	Neutered Male	1-3 years
Adoption	Domestic Shorthair Mix	White/Blue Tabby		No	Cat	Spayed Female	Under 1 year
Adoption	Beagle/Boxer	Brown/White	Comet	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Blue/White	Rick	No	Cat	Intact Male	Under 1 year
Adoption	Domestic Shorthair Mix	Calico	Pepper	No	Cat	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Unknown	Under 1 year
Return_to_owner	Border Collie/Australian Cattle Dog	White/Brown	Autie	No	Dog	Spayed Female	1-3 years
Return_to_owner	Cane Corso	Brown Brindle	Nico	No	Dog	Neutered Male	4-6 years
Euthanasia	Pit Bull Mix	Black/White	Delilah	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Black		No	Cat	Intact Male	Under 1 year
Adoption	Jack Russell Terrier Mix	White/Brown	Sadie	No	Dog	Spayed Female	Under 1 year
Return_to_owner	Domestic Shorthair Mix	Black/White	Ms Kitty	No	Cat	Spayed Female	4-6 years
Adoption	Labrador Retriever/Pit Bull	White/Black	Ruby	No	Dog	Intact Female	Under 1 year
Transfer	Domestic Shorthair Mix	Orange Tabby		No	Cat	Unknown	Under 1 year
Transfer	Domestic Shorthair Mix	Blue		No	Cat	Intact Female	Under 1 year
Return_to_owner	Akita/German Shepherd	White/Black	Oso	No	Dog	Neutered Male	7-10 years
Adoption	Pit Bull Mix	Tan/White	Sader	No	Dog	Spayed Female	1-3 years
Adoption	Maine Coon Mix	Torbie	Gloria	No	Cat	Spayed Female	1-3 years
Adoption	Domestic Shorthair Mix	Brown Tabby	Samantha	No	Cat	Spayed Female	Under 1 year
Return_to_owner	German Shepherd/Chow Chow	Brown	Bear	No	Dog	Neutered Male	7-10 years
Transfer	Chihuahua Shorthair Mix	Tan	Tobias	No	Dog	Neutered Male	Under 1 year
Return_to_owner	German Shepherd Mix	White	Hank	No	Dog	Neutered Male	1-3 years
Return_to_owner	Pug	Tan/Black	Rosie	No	Dog	Spayed Female	7-10 years
Adoption	Domestic Shorthair Mix	Black	Shadow	No	Cat	Neutered Male	Under 1 year
Return_to_owner	Border Collie Mix	Black/White	Jazz	No	Dog	Intact Female	1-3 years
Adoption	Cairn Terrier Mix	Brown		No	Dog	Neutered Male	Under 1 year
Adoption	Labrador Retriever/German Shepherd	Brown/Black	Misty	No	Dog	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Orange Tabby	Luke	No	Cat	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby/White		No	Cat	Intact Male	Under 1 year
Adoption	Domestic Medium Hair Mix	Blue/White	Pewter	No	Cat	Neutered Male	Under 1 year
Adoption	Labrador Retriever Mix	Black/White	Wilma	No	Dog	Spayed Female	1-3 years
Adoption	Domestic Shorthair Mix	Black	Charlie	No	Cat	Neutered Male	7-10 years
Transfer	Wire Hair Fox Terrier/Chihuahua Shorthair	Cream		No	Dog	Spayed Female	1-3 years
Transfer	Chihuahua Shorthair Mix	Black/Tan	Casey	No	Dog	Intact Female	4-6 years
Adoption	German Shepherd Mix	Brown/White	Riker	No	Dog	Neutered Male	Under 1 year
Transfer	Labrador Retriever Mix	Black	Sadie	No	Dog	Intact Female	1-3 years
Return_to_owner	Cairn Terrier Mix	Tan/White	Mocha	No	Dog	Spayed Female	1-3 years
Died	Domestic Shorthair Mix	Orange Tabby/White	Jonas	No	Cat	Intact Male	Under 1 year
Euthanasia	Domestic Medium Hair Mix	Brown Tabby	Honorina	No	Cat	Intact Female	Under 1 year
Adoption	Siberian Husky/Labrador Retriever	White/Brown	Jasper	No	Dog	Neutered Male	Under 1 year
Adoption	Chihuahua Shorthair Mix	Black	Charlotte	No	Dog	Spayed Female	1-3 years
Adoption	Domestic Shorthair Mix	Brown Tabby/White	Pan	No	Cat	Neutered Male	4-6 years
Adoption	Chihuahua Shorthair Mix	White/Tan	Tiny	No	Dog	Intact Female	11+ years
Adoption	Staffordshire Mix	Brown/White	Penny	No	Dog	Spayed Female	1-3 years
Transfer	Pit Bull Mix	Brown/White		No	Dog	Intact Male	Under 1 year
Transfer	Beagle Mix	Tricolor	Beasly	No	Dog	Neutered Male	4-6 years
Transfer	Maltese/Shih Tzu	White	Cokito	No	Dog	Neutered Male	1-3 years
Return_to_owner	Labrador Retriever	Yellow	Fred	No	Dog	Spayed Female	4-6 years
Adoption	Dachshund Mix	White/Brown		No	Dog	Spayed Female	Under 1 year
Return_to_owner	Lhasa Apso Mix	Brown/Gray	Bella	No	Dog	Spayed Female	1-3 years
Adoption	Harrier Mix	Tricolor	Noel	No	Dog	Neutered Male	Under 1 year
Euthanasia	Staffordshire Mix	Fawn	Summer	No	Dog	Spayed Female	1-3 years
Return_to_owner	Norwich Terrier Mix	Red/White	Addie	No	Dog	Spayed Female	4-6 years
Transfer	Domestic Shorthair Mix	White/Orange Tabby		No	Cat	Intact Male	Under 1 year
Return_to_owner	Chihuahua Shorthair Mix	Tan/White	Lily	No	Dog	Spayed Female	1-3 years
Adoption	Chihuahua Shorthair/Jack Russell Terrier	Red/White	Lacy	No	Dog	Spayed Female	Under 1 year
Return_to_owner	Labrador Retriever Mix	Black/White	Sancho	No	Dog	Neutered Male	4-6 years
Return_to_owner	Domestic Medium Hair Mix	Black	Philemon	No	Cat	Intact Male	4-6 years
Adoption	Basset Hound Mix	Black/White	Murphy	No	Dog	Neutered Male	Under 1 year
Adoption	Jack Russell Terrier/Pit Bull	White/Brown	Agatha	No	Dog	Spayed Female	1-3 years
Transfer	Beagle	Orange/White	Copper	No	Dog	Neutered Male	Under 1 year
Return_to_owner	Bernese Mountain Dog Mix	Tricolor	Sloopy	No	Dog	Neutered Male	7-10 years
Transfer	Domestic Shorthair Mix	Calico		No	Cat	Intact Female	Under 1 year
Adoption	Domestic Shorthair Mix	Black	Daisy	No	Cat	Spayed Female	Under 1 year
Transfer	Anatol Shepherd/Labrador Retriever	Buff	Moose	No	Dog	Neutered Male	Under 1 year
Adoption	Cocker Spaniel Mix	White/Liver	Ginger	No	Dog	Spayed Female	7-10 years
Transfer	Chihuahua Shorthair Mix	Gold	Canelo	No	Dog	Neutered Male	1-3 years
Adoption	Domestic Longhair Mix	Black		No	Cat	Neutered Male	Under 1 year
Return_to_owner	Great Pyrenees Mix	White	Rosebud	No	Dog	Spayed Female	11+ years
Transfer	Pug	Brown/Black	Bugsy	No	Dog	Neutered Male	4-6 years
Transfer	Chihuahua Longhair Mix	Brown	Legs	No	Dog	Neutered Male	Under 1 year
Transfer	Labrador Retriever Mix	Black/White		No	Dog	Intact Male	Under 1 year
Adoption	Siberian Husky Mix	White	Yogi	No	Dog	Neutered Male	1-3 years
Adoption	Domestic Shorthair Mix	Calico		No	Cat	Spayed Female	1-3 years
Adoption	Chihuahua Shorthair/Yorkshire Terrier	Black/Brown	Piper	No	Dog	Spayed Female	Under 1 year
Adoption	Domestic Shorthair Mix	Calico	Janie	No	Cat	Spayed Female	7-10 years
Adoption	Alaskan Malamute/Akita	Brown/Black	Roxy	No	Dog	Spayed Female	1-3 years
Transfer	Chow Chow	Blue	Bolou	No	Dog	Neutered Male	4-6 years
Euthanasia	Rottweiler	Black/Brown	Sadie Rose	No	Dog	Spayed Female	1-3 years
Adoption	Labrador Retriever Mix	Yellow	Ethal	No	Dog	Spayed Female	11+ years
Adoption	Collie Rough Mix	Tan/Black	Hope	No	Dog	Spayed Female	4-6 years
Transfer	Domestic Shorthair Mix	Black		No	Cat	Unknown	Under 1 year
Transfer	Domestic Shorthair Mix	Tortie		No	Cat	Intact Female	1-3 years
Transfer	Domestic Shorthair Mix	Orange Tabby/White	Derrick	No	Cat	Intact Male	Under 1 year
Adoption	Domestic Shorthair Mix	Orange Tabby	Origami	No	Cat	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Intact Male	Under 1 year
Return_to_owner	Flat Coat Retriever Mix	Black/White	Midnight	No	Dog	Neutered Male	1-3 years
Adoption	Domestic Shorthair Mix	Blue/White	Xena	No	Cat	Spayed Female	Under 1 year
Return_to_owner	Chihuahua Shorthair Mix	Tricolor	Manchita	No	Dog	Neutered Male	4-6 years
Return_to_owner	American Pit Bull Terrier Mix	Fawn/White	Beyonce	No	Dog	Intact Female	1-3 years
Return_to_owner	Pit Bull/Boxer	Brown Brindle/White	Shaw May	No	Dog	Spayed Female	1-3 years
Return_to_owner	Chihuahua Shorthair Mix	Black/White	Prinsesa	No	Dog	Spayed Female	7-10 years
Return_to_owner	Pit Bull Mix	Brown Brindle	Lizzie	No	Dog	Spayed Female	11+ years
Adoption	Domestic Shorthair Mix	Tortie	Isadora	No	Cat	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Black/White	Roberto	No	Cat	Intact Male	Under 1 year
Transfer	Dachshund Wirehair/Chihuahua Longhair	Gray/White		No	Dog	Spayed Female	Under 1 year
Euthanasia	Basset Hound Mix	White/Brown	Kerubin	No	Dog	Neutered Male	1-3 years
Euthanasia	Domestic Longhair Mix	Black	Stormy	No	Cat	Intact Female	Under 1 year
Return_to_owner	Pit Bull Mix	White/Tan	Rage	No	Dog	Neutered Male	1-3 years
Transfer	Chow Chow/Australian Cattle Dog	White/Red		No	Dog	Intact Male	Under 1 year
Euthanasia	Domestic Shorthair Mix	Black		No	Cat	Unknown	Under 1 year
Adoption	Domestic Shorthair Mix	Black/White	Moon Light	No	Cat	Neutered Male	Under 1 year
Return_to_owner	Miniature Schnauzer	Gray	Oliver	No	Dog	Neutered Male	4-6 years
Return_to_owner	Pit Bull Mix	White/Brown	Jude	No	Dog	Spayed Female	1-3 years
Transfer	Miniature Poodle Mix	Black/White		No	Dog	Intact Male	Under 1 year
Adoption	Pit Bull Mix	Black/White	Sister	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Black/White		No	Cat	Neutered Male	1-3 years
Adoption	Boxer/Catahoula	Red/White	Tina	No	Dog	Spayed Female	Under 1 year
Return_to_owner	Domestic Shorthair Mix	Orange Tabby/White	Daniel Leon	No	Cat	Neutered Male	4-6 years
Transfer	Domestic Shorthair Mix	Black		No	Cat	Intact Male	Under 1 year
Euthanasia	Pit Bull/Chinese Sharpei	Tan/White		No	Dog	Intact Male	4-6 years
Adoption	Domestic Shorthair Mix	Calico	Callie	No	Cat	Spayed Female	Under 1 year
Adoption	Pit Bull Mix	Tan/White	Rosie	No	Dog	Spayed Female	4-6 years
Adoption	Chihuahua Shorthair Mix	Tricolor	Noel	No	Dog	Spayed Female	1-3 years
Return_to_owner	Pit Bull Mix	Blue/White	Diamond	No	Dog	Intact Female	1-3 years
Transfer	Pit Bull Mix	Tan/White		No	Dog	Intact Female	1-3 years
Return_to_owner	Domestic Shorthair Mix	Orange Tabby	Oscar	No	Cat	Neutered Male	11+ years
Transfer	Domestic Shorthair Mix	Calico	Janeane	No	Cat	Spayed Female	1-3 years
Adoption	Domestic Medium Hair Mix	Orange Tabby/White	June	No	Cat	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Cream Tabby		No	Cat	Intact Male	Under 1 year
Return_to_owner	Chihuahua Shorthair Mix	Black/Tan	Cedric	No	Dog	Neutered Male	4-6 years
Return_to_owner	Pit Bull	Blue/White	Cesar	No	Dog	Neutered Male	7-10 years
Transfer	Domestic Shorthair Mix	Orange Tabby		No	Cat	Intact Female	Under 1 year
Return_to_owner	Chihuahua Shorthair Mix	Tan	Dude	No	Dog	Neutered Male	7-10 years
Transfer	Dachshund/Chihuahua Shorthair	Brown/White	Rascal	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	White/Orange Tabby	French Fry	No	Cat	Neutered Male	Under 1 year
Adoption	German Shepherd Mix	Brown/Black	Jacks	No	Dog	Neutered Male	1-3 years
Adoption	Jack Russell Terrier Mix	White/Brown	Agatha	No	Dog	Spayed Female	7-10 years
Transfer	Pit Bull Mix	Blue/White	Lucky	No	Dog	Neutered Male	1-3 years
Adoption	Labrador Retriever/Pit Bull	Black/White	Bubba	No	Dog	Neutered Male	1-3 years
Adoption	Labrador Retriever Mix	Black/White	Jackson	No	Dog	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Calico	Miracle	No	Cat	Spayed Female	Under 1 year
Return_to_owner	Labrador Retriever Mix	Black/White	Cerberus	No	Dog	Neutered Male	Under 1 year
Adoption	American Staffordshire Terrier	Brown/White	Cleopatra	No	Dog	Spayed Female	4-6 years
Adoption	Labrador Retriever/Dalmatian	White/Brown	Shiner	No	Dog	Neutered Male	Under 1 year
Adoption	Domestic Shorthair Mix	Brown Tabby		No	Cat	Neutered Male	Under 1 year
Transfer	Labrador Retriever	Yellow		No	Dog	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Unknown	Under 1 year
Transfer	Domestic Medium Hair Mix	Brown Tabby	Tommy	No	Cat	Neutered Male	Under 1 year
Adoption	Pointer/Chinese Sharpei	White/Brown	Topi	No	Dog	Neutered Male	4-6 years
Adoption	Dachshund Mix	Brown		No	Dog	Neutered Male	1-3 years
Adoption	Australian Shepherd/Labrador Retriever	Black Brindle		No	Dog	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby	Silvia	No	Cat	Spayed Female	1-3 years
Adoption	Maltese Mix	White	Mitsy Bitsy	No	Dog	Spayed Female	7-10 years
Adoption	Beagle/Labrador Retriever	Black/White	Robbie	No	Dog	Neutered Male	1-3 years
Euthanasia	Labrador Retriever Mix	Black/White	Elvis	No	Dog	Neutered Male	11+ years
Return_to_owner	Boxer Mix	Brown/White	Connie	No	Dog	Intact Female	1-3 years
Adoption	Australian Cattle Dog Mix	Black/White		No	Dog	Spayed Female	Under 1 year
Adoption	Rat Terrier Mix	White/Black	Riley	No	Dog	Spayed Female	7-10 years
Adoption	Domestic Shorthair Mix	Black/White	Sissy	No	Cat	Spayed Female	Under 1 year
Adoption	Chihuahua Shorthair Mix	Black/White	Mini	No	Dog	Spayed Female	7-10 years
Adoption	Domestic Shorthair Mix	Brown Tabby		No	Cat	Neutered Male	Under 1 year
Transfer	Domestic Longhair Mix	Orange Tabby	Ernie	No	Cat	Neutered Male	1-3 years
Died	Domestic Shorthair Mix	Brown Tabby	Noodle	No	Cat	Neutered Male	Under 1 year
Adoption	Carolina Dog Mix	Tan/Black		No	Dog	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Calico		No	Cat	Intact Female	Under 1 year
Transfer	Domestic Medium Hair Mix	Tortie		No	Cat	Intact Female	1-3 years
Adoption	Domestic Shorthair Mix	Black/White	Rick	No	Cat	Neutered Male	Under 1 year
Return_to_owner	Miniature Schnauzer	Black/Tan	Julio	No	Dog	Neutered Male	7-10 years
Adoption	Labrador Retriever Mix	Brown/White		No	Dog	Spayed Female	Under 1 year
Euthanasia	Australian Shepherd/Chow Chow	Black/Brown	Tashi	No	Dog	Neutered Male	4-6 years
Return_to_owner	Miniature Schnauzer Mix	White	Einstein	No	Dog	Intact Male	1-3 years
Return_to_owner	Black Mouth Cur Mix	Brown/Black	Baby Girl	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Black		No	Cat	Intact Female	Under 1 year
Transfer	Chihuahua Shorthair Mix	Brown/White	Maggie	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Black	J	No	Cat	Neutered Male	Under 1 year
Return_to_owner	Pit Bull Mix	White/Black	Gemini	No	Dog	Spayed Female	1-3 years
Euthanasia	Chihuahua Longhair Mix	Tan		No	Dog	Intact Female	Under 1 year
Transfer	Domestic Shorthair Mix	Blue/White		No	Cat	Spayed Female	1-3 years
Return_to_owner	Labrador Retriever Mix	Yellow	Alex	No	Dog	Neutered Male	11+ years
Transfer	American Staffordshire Terrier Mix	Brown/White	Bumper	No	Dog	Neutered Male	Under 1 year
Return_to_owner	German Shepherd Mix	Cream	Rex	No	Dog	Neutered Male	11+ years
Adoption	Domestic Shorthair Mix	Torbie	Caramel	No	Cat	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Orange Tabby		No	Cat	Intact Male	Under 1 year
Adoption	Domestic Medium Hair Mix	Brown Tabby/White	Luke	No	Cat	Neutered Male	Under 1 year
Adoption	Yorkshire Terrier Mix	Tan	Leo	No	Dog	Neutered Male	1-3 years
Adoption	Domestic Shorthair Mix	Blue Tabby	Pepper	No	Cat	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Black	Baby Girl	No	Cat	Spayed Female	1-3 years
Euthanasia	Domestic Shorthair Mix	Black		No	Cat	Unknown	Under 1 year
Transfer	Domestic Shorthair Mix	Cream Tabby/White	Bobbie	No	Cat	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Black/White		No	Cat	Intact Male	Under 1 year
Return_to_owner	Catahoula Mix	White/Yellow Brindle	Brisket	No	Dog	Neutered Male	4-6 years
Transfer	Australian Kelpie Mix	Tricolor		No	Dog	Intact Female	Under 1 year
Adoption	Labrador Retriever Mix	Brown		No	Dog	Spayed Female	1-3 years
Transfer	Yorkshire Terrier/Border Terrier	Gray/Tan	Prieto	No	Dog	Neutered Male	1-3 years
Adoption	Domestic Shorthair Mix	Black/White	Mr. Pip	No	Cat	Neutered Male	Under 1 year
Adoption	German Shepherd/Black Mouth Cur	Brown/White	Teddy	No	Dog	Neutered Male	1-3 years
Adoption	Harrier Mix	Tricolor	Pete	No	Dog	Neutered Male	1-3 years
Euthanasia	Labrador Retriever Mix	Brown/White	Ernie	No	Dog	Neutered Male	Under 1 year
Transfer	Siamese Mix	Lynx Point		No	Cat	Intact Female	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Spayed Female	Under 1 year
Adoption	Collie Rough/Chinese Sharpei	Brown/Black	Sheeba	No	Dog	Spayed Female	7-10 years
Euthanasia	Chihuahua Longhair/Cairn Terrier	Black/Tan		No	Dog	Intact Male	Under 1 year
Transfer	Chihuahua Shorthair/Rat Terrier	Tricolor	Rosie	No	Dog	Spayed Female	1-3 years
Transfer	Pit Bull Mix	White/Tan	Luna	No	Dog	Intact Female	7-10 years
Adoption	Siberian Husky Mix	Brown/White	Odin	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Intact Female	Under 1 year
Adoption	Beagle Mix	Black Brindle/White	Dana	No	Dog	Spayed Female	1-3 years
Euthanasia	Domestic Shorthair Mix	Orange Tiger	Wally	No	Cat	Intact Male	Under 1 year
Transfer	Pit Bull Mix	Fawn	Bevo	No	Dog	Neutered Male	4-6 years
Return_to_owner	Cairn Terrier Mix	Brown/Black	Daisy	No	Dog	Spayed Female	Under 1 year
Transfer	Australian Cattle Dog Mix	Tricolor	Sage	No	Dog	Spayed Female	Under 1 year
Transfer	Siamese Mix	Flame Point	Cody	No	Cat	Neutered Male	7-10 years
Transfer	Domestic Shorthair Mix	Orange Tabby		No	Cat	Intact Male	Under 1 year
Adoption	Labrador Retriever Mix	Tan/White		No	Dog	Spayed Female	Under 1 year
Adoption	Domestic Shorthair Mix	Black/White	Clyde	No	Cat	Neutered Male	Under 1 year
Adoption	Domestic Shorthair Mix	Orange Tabby/White		No	Cat	Neutered Male	Under 1 year
Transfer	Australian Cattle Dog/Staffordshire	Black/White	Howard	No	Dog	Neutered Male	1-3 years
Adoption	Manx Mix	Blue Tabby	Kovu	No	Cat	Neutered Male	Under 1 year
Return_to_owner	Labrador Retriever Mix	Black	Duke	No	Dog	Neutered Male	11+ years
Adoption	Labrador Retriever/Australian Kelpie	Tricolor	Toby	No	Dog	Neutered Male	Under 1 year
Adoption	Chihuahua Shorthair Mix	Black/Brown	Charlie	No	Dog	Neutered Male	Under 1 year
Return_to_owner	Pit Bull Mix	Blue/White	Ruckus	No	Dog	Intact Female	1-3 years
Adoption	Domestic Shorthair Mix	Tortie/White		No	Cat	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby	Snickers	No	Cat	Neutered Male	4-6 years
Adoption	Dachshund Mix	Tricolor		No	Dog	Spayed Female	Under 1 year
Return_to_owner	Pit Bull Mix	Blue/White	Marley	No	Dog	Neutered Male	4-6 years
Adoption	Dachshund/Havanese	Tan/White	Sparky	No	Dog	Neutered Male	4-6 years
Return_to_owner	Chihuahua Shorthair Mix	White/Brown	Spot	No	Dog	Neutered Male	4-6 years
Transfer	Pit Bull Mix	Red/White	Flaco	No	Dog	Neutered Male	4-6 years
Adoption	Domestic Shorthair	Brown Tabby	Kat	No	Cat	Spayed Female	Under 1 year
Transfer	Pit Bull Mix	Blue/White	Colonel	No	Dog	Neutered Male	1-3 years
Adoption	Great Pyrenees/Border Collie	White/Black	Buffy	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Blue Tabby	Blu	No	Cat	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Blue Tabby	Glynnis	No	Cat	Spayed Female	Under 1 year
Died	Labrador Retriever Mix	Black		No	Dog	Intact Male	Under 1 year
Transfer	Domestic Shorthair Mix	Orange Tabby		No	Cat	Intact Female	Under 1 year
Transfer	Greater Swiss Mountain Dog Mix	Tricolor	Winston	No	Dog	Intact Male	1-3 years
Adoption	Domestic Shorthair Mix	Orange Tabby	Rufus	No	Cat	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Black	Nanette	No	Cat	Intact Female	Under 1 year
Return_to_owner	Standard Schnauzer Mix	Black/White	Buster	No	Dog	Neutered Male	4-6 years
Transfer	Miniature Pinscher/Chihuahua Shorthair	Black/Tan	Blacky	No	Dog	Intact Male	Under 1 year
Adoption	Domestic Shorthair Mix	Blue Tabby	Turbo	No	Cat	Intact Male	Under 1 year
Return_to_owner	Toy Poodle Mix	Gray/White	Baby	No	Dog	Intact Male	11+ years
Return_to_owner	Miniature Schnauzer Mix	Black/Gray	Gretel	No	Dog	Spayed Female	7-10 years
Adoption	Domestic Shorthair Mix	Brown Tabby	Rickon	No	Cat	Neutered Male	Under 1 year
Transfer	Australian Cattle Dog/Labrador Retriever	Tan/White	Patricia	No	Dog	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Orange Tabby/White		No	Cat	Intact Male	1-3 years
Transfer	Siamese Mix	Lynx Point/White		No	Cat	Intact Female	1-3 years
Transfer	Domestic Shorthair Mix	Cream/Orange		No	Cat	Intact Male	Under 1 year
Transfer	Queensland Heeler Mix	Blue Merle/Black	Sadie	No	Dog	Spayed Female	1-3 years
Adoption	Domestic Longhair Mix	Black	Isaac	No	Cat	Neutered Male	Under 1 year
Adoption	Blue Lacy Mix	Blue/White	Misha	No	Dog	Spayed Female	Under 1 year
